Latitude,Longitude,Accident_Date,Accident_Time,Light_Condition,Speed_Zone
-37.81469,145.03682,4/4/2014,0.7979,0.5,0.5
-37.64632,148.83405,11/4/2014,0.8333,0,0.8333
-37.7531,144.78185,8/4/2014,0.7642,0.5,0.5
-37.8299,144.97132,23/2/2014,0.1396,0.5,0.5
-38.15634,145.17068,23/2/2014,0.4208,1,0.6667
-37.65483,145.50514,23/2/2014,0.5125,1,0.5
-37.83696,145.22737,23/2/2014,0.55,1,0.5
-37.82807,144.96165,23/2/2014,0.05,0.5,0.5
-37.58326,144.7304,23/2/2014,0.7725,1,0.5
-37.89743,145.06759,21/2/2014,0.5417,1,0.4167
-37.79251,144.77163,18/2/2014,0.2296,0.5,0.5833
-37.72959,145.04997,11/3/2014,0.6875,1,0.4167
-37.73815,144.93699,11/3/2014,0.7083,0.5,0.5
-37.93295,145.03402,12/3/2014,0.0187,0.5,0.6667
-37.46041,143.85729,17/2/2014,0.425,1,0.8333
-37.5442,143.82127,12/3/2014,0.2625,0.5,0.5833
-38.36166,144.89781,8/3/2014,0.8938,0.5,0.4167
-38.06285,145.24219,26/2/2014,0.2687,0.5,0.6667
-37.87147,144.74854,12/3/2014,0.375,1,0.5833
-37.94417,145.47359,12/3/2014,0.3875,1,0.6667
-37.97673,145.06668,12/3/2014,0.5,1,0.6667
-37.86872,144.97989,12/3/2014,0.4771,1,0.3333
-37.9001,145.08946,12/3/2014,0.5,1,0.4167
-38.0189,145.11749,28/3/2014,0.7612,0.5,0.5833
-37.56939,144.72285,28/3/2014,0.7104,0.5,0.5
-38.04476,145.25365,28/3/2014,0.6758,1,0.6667
-37.87871,147.98498,27/3/2014,0.8917,0.5,0.4167
-37.84334,145.14975,28/3/2014,0.7958,0.5,0.4167
-37.85977,145.15075,28/3/2014,0.8458,0.5,0.5
-37.98174,145.06999,29/3/2014,0.05,0.5,0.6667
-37.74093,144.96253,29/3/2014,0.3771,1,0.4167
-37.86202,145.16923,29/3/2014,0.3825,1,0.5
-37.70592,145.18157,28/3/2014,0.6792,1,0.5
-37.82547,144.94039,29/3/2014,0.3812,1,0.6667
-37.78816,144.92948,29/3/2014,0.7629,0.5,0.3333
-38.0302,145.28006,13/4/2014,0.0854,0.5,0.5833
-36.22428,146.28064,13/4/2014,0.2208,0.5,0.8333
-37.91427,145.07498,1/4/2014,0.2938,0.5,0.5833
-37.87407,145.03596,12/4/2014,0.675,1,0.5
-37.41127,147.84196,12/4/2014,0.5833,1,0.8333
-37.90392,145.03979,13/3/2014,0.7083,0.5,0.5
-37.90908,144.75196,13/4/2014,0.5963,1,0.6667
-37.85049,145.11997,12/4/2014,0.5542,1,0.5833
-37.53862,143.84947,13/4/2014,0.7146,0.5,0.5833
-38.2384,141.52341,13/4/2014,0.7979,0.5,0.8333
-36.71594,144.24365,13/4/2014,0.6279,1,0.5
-37.84569,144.98502,13/4/2014,0.6,1,0.5
-37.32858,146.07242,21/2/2014,0.5062,1,0.8333
-37.69121,144.97504,24/2/2014,0.5229,1,0.5833
-37.79418,145.45427,24/2/2014,0.6833,1,0.6667
-37.83944,144.74708,21/2/2014,0.6042,1,0.6667
-37.69955,144.97621,24/2/2014,0.75,1,0.4167
-37.87942,144.68344,24/2/2014,0.725,1,0.4167
-36.83359,144.47011,24/2/2014,0.7146,1,0.8333
-38.15991,145.31857,24/2/2014,0.6854,1,0.6667
-36.95907,147.47784,24/2/2014,0.5479,1,0.8333
-36.99956,144.26044,6/2/2014,0.3875,1,0.5
-38.24627,145.1917,25/2/2014,0.0021,0.5,0.6667
-38.19511,145.09131,11/3/2014,0.725,0.5,0.6667
-37.83149,145.01245,6/3/2014,0.7083,0.5,0.5
-38.38472,142.23683,12/3/2014,0.6354,1,0.4167
-37.79695,145.35941,8/2/2014,0.3042,0.5,0.6667
-38.19699,144.34201,12/3/2014,0.8792,0.5,0.5833
-37.96677,145.19422,12/3/2014,0.9646,0.5,0.6667
-37.79807,144.97597,13/3/2014,0.2583,0.5,0.5
-37.87104,145.28513,9/3/2014,0.6375,1,0.5
-35.92375,143.22652,12/3/2014,0.5,1,0.9167
-37.59066,144.91461,1/3/2014,0.7167,0.5,0.4167
-37.89633,145.03623,13/3/2014,0.6375,1,0.5
-37.87632,145.25859,13/3/2014,0.6354,1,0.4167
-37.75822,147.48427,29/3/2014,0.7229,0.5,0.8333
-37.77032,144.77483,29/3/2014,0.935,0,0.6667
-37.55975,144.71022,29/3/2014,0.8396,0.5,0.5
-37.92224,145.01781,30/3/2014,0.0146,0.5,0.5
-36.05366,144.13706,29/3/2014,0.0625,0,0.5
-37.71326,145.04638,30/3/2014,0.1333,0.5,0.5
-37.72901,145.12356,27/3/2014,0.6687,1,0.4167
-37.35012,144.71184,30/3/2014,0.1667,0,0.8333
-38.06513,147.02986,30/3/2014,0.2708,0.5,0.8333
-37.86853,145.22497,30/3/2014,0.4792,1,0.4167
-37.71503,144.94669,30/3/2014,0.2708,0.5,0.4167
-37.557,145.86059,30/3/2014,0.5604,1,0.8333
-38.1905,145.66084,30/3/2014,0.5958,1,0.8333
-37.76735,144.98023,9/4/2014,0.9167,0,0.5
-37.81808,144.95369,9/4/2014,0.9333,0.5,0.3333
-37.88313,145.11389,9/4/2014,0.5125,1,0.5
-37.89496,145.01328,9/4/2014,0.8938,0.5,0.5
-37.73655,144.95457,28/3/2014,0.4167,1,0.5
-37.77523,145.16444,10/4/2014,0.3042,0.5,0.5833
-37.80499,144.99213,9/4/2014,0.8812,0.5,0.5
-37.87267,145.02471,10/4/2014,0.5,1,0.5
-37.81369,145.21566,10/4/2014,0.3104,0.5,0.6667
-38.12262,145.14274,2/4/2014,0.7979,0.5,0.6667
-38.07991,145.25745,10/1/2014,0.4813,1,0.6667
-37.76649,144.92497,25/2/2014,0.3063,0.5,0.5
-37.88956,145.17038,25/2/2014,0.3042,0.5,0.5
-38.05191,144.18981,2/2/2014,0.7688,1,0.5
-38.06861,145.62136,25/2/2014,0.3021,0.5,0.8333
-37.75938,144.99893,16/1/2014,0.6404,1,0.4167
-38.28291,145.53305,12/1/2014,0.4633,1,0.8333
-37.88661,144.68137,25/2/2014,0.3438,1,0.5
-37.80743,144.80786,25/2/2014,0.375,1,0.8333
-37.78168,144.86967,31/1/2014,0.7146,1,0.5
-36.37361,146.37195,26/1/2014,0.8833,0,0.9167
-37.90824,145.16064,4/12/2013,0.5437,1,0.5833
-35.34921,143.56408,25/2/2014,0.7329,1,0.4167
-37.63482,144.93124,13/3/2014,0.6383,1,0.3333
-37.65348,144.92752,6/3/2014,0.7917,0.5,0.4167
-37.79382,145.09634,13/3/2014,0.6896,1,0.4167
-34.19003,142.14659,13/3/2014,0.7312,0.5,0.5
-37.81528,144.80757,13/3/2014,0.3792,1,0.6667
-37.7814,144.75478,13/3/2014,0.9333,0.5,0.5833
-37.69047,144.99666,13/3/2014,0.5029,1,0.4167
-36.47551,143.9999,13/3/2014,0.8417,0,0.8333
-37.84503,145.12645,11/3/2014,0.4762,1,0.4167
-37.74509,144.93375,21/2/2014,0.6792,1,0.5
-37.85975,145.07514,14/3/2014,0.4167,1,0.5
-37.75725,145.35682,12/3/2014,0.3458,1,0.5
-37.59191,145.13014,30/3/2014,0.5975,1,0.4167
-37.79226,144.96839,30/3/2014,0.8867,0.5,0.5
-37.80195,144.89778,31/3/2014,0.35,1,0.4167
-37.04823,142.73725,30/3/2014,0.5208,1,0.8333
-38.09404,145.73044,28/3/2014,0.6042,1,0.4167
-35.3469,143.54889,10/2/2014,0.4167,1,0.4167
-37.9722,146.41773,30/3/2014,0.5833,1,0.6667
-36.88748,141.12172,31/3/2014,0.2125,0.5,0.8333
-38.06961,145.17904,29/3/2014,0.7562,0.5,0.6667
-37.8732,145.24783,31/3/2014,0.3417,1,0.6667
-38.50918,143.86287,29/3/2014,0.4292,1,0.6667
-37.8877,144.99633,31/3/2014,0.3792,1,0.5
-37.88866,145.28761,8/4/2014,0.6667,1,0.6667
-37.68906,144.92254,12/4/2014,0.2938,0.5,0.4167
-37.14331,145.62497,12/4/2014,0.125,0,0.8333
-38.08156,145.2716,12/4/2014,0.4771,1,0.5833
-37.84722,145.01511,12/4/2014,0.5042,1,0.4167
-34.45705,142.24803,26/3/2014,0.7625,0.5,0.8333
-37.90473,144.65783,9/4/2014,0.6312,1,0.5
-37.93258,145.04547,12/4/2014,0.6379,1,0.4167
-37.70268,148.58187,12/4/2014,0.4621,1,0.8333
-37.98263,145.21183,12/4/2014,0.5183,1,0.4167
-37.90529,144.65656,12/4/2014,0.8521,0.5,0.5
-37.75896,144.83206,20/2/2014,0.4583,1,0.5
-37.67189,144.85264,25/2/2014,0.6808,1,0.5
-37.74548,144.8103,25/2/2014,0.8333,0.5,0.5
-37.66062,145.04406,26/2/2014,0.3083,0.5,0.4167
-37.56011,143.86111,25/2/2014,0.3896,1,0.4167
-37.74718,145.0218,22/2/2014,0.39,1,0.5833
-37.92313,145.19549,19/2/2014,0.6458,1,0.5833
-37.57286,144.67634,26/2/2014,0.2958,0.5,0.9167
-38.20685,145.71006,26/2/2014,0.2667,0.5,0.8333
-37.8323,145.06493,26/2/2014,0.4338,1,0.5
-38.42451,143.8663,25/2/2014,0.5917,1,0.8333
-37.77637,145.34396,6/2/2014,0.75,0.5,0.5
-37.25133,144.45729,14/3/2014,0.6438,1,0.4167
-38.1808,144.35396,14/3/2014,0.6829,1,0.5
-37.87887,145.01391,11/11/2013,0.75,0,0.5
-37.81625,145.2376,14/3/2014,0.5867,1,0.5
-35.22674,141.44614,14/3/2014,0.7688,0.5,0.9167
-37.81536,144.99507,13/3/2014,0.6854,1,0.4167
-38.07036,144.38998,15/3/2014,0.2938,0,0.6667
-37.76578,144.99175,4/3/2014,0.3125,0.5,0.5
-37.71477,145.6342,15/3/2014,0.475,1,0.8333
-37.57921,144.73382,15/3/2014,0.4375,1,0.5
-38.15983,144.34693,14/3/2014,0.7271,0.5,0.5
-36.38292,145.41288,15/3/2014,0.7683,0.5,0.5
-37.69578,144.92499,15/3/2014,0.7542,1,0.5
-37.88898,144.65232,31/3/2014,0.63,1,0.5
-37.11821,145.09154,18/2/2014,0.5583,1,0.9167
-37.85309,145.00244,25/3/2014,0.5458,1,0.5
-37.97107,145.14886,31/3/2014,0.7125,0.5,0.6667
-34.21575,142.16793,31/3/2014,0.6417,1,0.5
-38.22064,144.34727,31/3/2014,0.8058,0,0.6667
-37.77327,145.04248,1/4/2014,0.0042,0.5,0.4167
-37.99722,145.27529,1/4/2014,0.1325,0.5,0.6667
-37.82154,145.30429,31/3/2014,0.5062,1,0.6667
-37.69392,144.9153,1/4/2014,0.3838,1,0.6667
-37.89551,144.75444,1/4/2014,0.2958,0.5,0.5
-37.78097,144.91511,12/2/2014,0.5042,1,0.5
-36.70942,144.31533,28/3/2014,0.5896,1,0.5833
-37.89513,145.0878,14/4/2014,0.2621,0.5,0.5
-37.48033,144.15088,13/4/2014,0.5604,1,0.6667
-37.73537,145.22249,14/4/2014,0.4708,1,0.5
-37.74236,144.90477,14/4/2014,0.4308,1,0.5
-37.56567,143.88635,29/3/2014,0.9292,0.5,0.5
-37.92897,145.10147,13/4/2014,0.9167,0.5,0.4167
-37.54254,143.85017,14/4/2014,0.5042,1,0.5
-37.79701,144.96459,14/4/2014,0.6062,1,0.4167
-37.57264,143.83568,12/4/2014,0.675,1,0.5
-38.18178,144.34778,2/4/2014,0.7271,0.5,0.5833
-37.66695,144.95164,14/4/2014,0.5833,1,0.5
-37.73879,145.07219,25/2/2014,0.3458,1,0.5
-37.6466,145.18967,26/2/2014,0.5229,1,0.3333
-38.01751,145.27099,26/2/2014,0.6333,1,0.4167
-37.66678,145.18044,26/2/2014,0.7521,1,0.5833
-37.69317,145.03939,26/2/2014,0.7104,1,0.4167
-37.83984,144.82558,20/2/2014,0.4333,1,0.5833
-38.19718,146.53519,26/2/2014,0.7683,1,0.4167
-37.97989,145.22174,14/1/2014,0.5833,1,0.5
-37.80924,144.95237,1/1/2014,0.7562,1,0.4167
-38.43706,145.82746,27/2/2014,0.5417,1,0.5
-37.57125,143.84554,27/2/2014,0.5,1,0.5
-37.80612,145.01714,10/5/2013,0.2917,0.5,0.5
-37.86546,144.99208,27/2/2014,0.6375,1,0.5
-38.10195,144.06864,15/3/2014,0.7083,0.5,0.5
-37.99983,145.22403,15/3/2014,0.9708,0.5,0.5
-36.71051,144.26304,15/3/2014,0.8396,0.5,0.5
-37.84469,144.6889,15/3/2014,0.9792,0.5,0.5
-37.78232,144.98471,9/3/2014,0.9646,0.5,0.5
-37.88727,145.04613,16/3/2014,0.0417,0.5,0.5
-37.79475,144.89066,14/3/2014,0.8917,0.5,0.4167
-37.78813,144.95014,5/3/2014,0.3042,0.5,0.5
-37.80007,144.96404,16/3/2014,0.5133,1,0.3333
-37.28316,144.30017,16/3/2014,0.4188,1,0.8333
-38.05276,145.82538,16/3/2014,0.5062,1,0.8333
-37.20627,144.47079,16/3/2014,0.5833,1,0.6667
-37.80196,144.88661,19/12/2013,0.46,1,0.6667
-38.46803,143.78466,29/3/2014,0.4708,1,0.6667
-37.78097,145.07861,1/4/2014,0.3521,1,0.5
-37.24258,144.45448,1/4/2014,0.3992,1,0.5
-37.84698,144.995,25/8/2013,0.75,0.5,0.3333
-37.86796,145.09253,1/4/2014,0.4583,1,0.5
-37.87943,144.70128,31/3/2014,0.6667,1,0.5
-38.07378,145.19332,1/4/2014,0.3367,1,0.8333
-37.98046,145.19017,7/12/2013,0.3438,1,0.4167
-37.6882,144.95809,25/3/2014,0.5833,1,0.6667
-37.69237,146.20808,30/3/2014,0.4167,1,0.8333
-37.87205,144.97643,1/4/2014,0.8521,0.5,0.5
-37.62839,145.02788,8/4/2014,0.9229,0.5,0.6667
-38.09144,144.35637,10/4/2014,0.5625,1,0.6667
-37.90392,147.34102,10/4/2014,0.3771,1,0.8333
-37.94044,145.05301,10/4/2014,0.5925,1,0.5
-37.78676,145.27539,8/4/2014,0.5167,1,0.6667
-38.22635,145.07739,1/3/2014,0.7292,0.5,0.6667
-37.77722,144.83065,10/4/2014,0.5833,0,0.5
-37.81045,145.22732,8/4/2014,0.5958,1,0.5
-37.83238,145.21698,10/4/2014,0.5646,1,0.5833
-36.39555,145.36667,10/4/2014,0.7625,0.5,0.5
-37.81324,145.17683,10/4/2014,0.7917,0.5,0.5833
-37.76578,144.99056,27/2/2014,0.7221,1,0.4167
-37.87943,144.70128,27/2/2014,0.7196,1,0.5
-37.92765,145.24062,27/2/2014,0.69,1,0.6667
-38.05684,145.39158,27/2/2014,0.6667,1,0.6667
-37.8942,145.29246,27/2/2014,0.75,1,0.4167
-38.08019,145.27518,27/2/2014,0.6792,1,0.6667
-37.88169,145.16179,27/2/2014,0.9375,0.5,0.4167
-37.75101,144.86309,28/2/2014,0.35,1,0.5
-37.85651,145.1225,25/2/2014,0.3083,0.5,0.5
-37.69173,144.96247,28/2/2014,0.4596,1,0.8333
-37.64862,145.06751,27/2/2014,0.6438,1,0.5
-37.81601,144.97238,28/2/2014,0.475,1,0.3333
-37.88857,145.4306,16/3/2014,0.6667,1,0.5
-37.81366,145.00007,16/3/2014,0.6375,1,0.5
-37.66432,145.00532,16/3/2014,0.8521,0.5,0.5833
-37.7501,145.31774,15/3/2014,0.9646,0.5,0.5833
-37.85878,145.19779,16/3/2014,0.5458,1,0.6667
-37.92495,145.02925,17/3/2014,0.3438,1,0.3333
-38.06777,145.60689,16/3/2014,0.8104,0.5,0.8333
-37.3724,148.21978,8/3/2014,0.625,1,0.8333
-37.8654,145.02519,17/3/2014,0.3104,0.5,0.6667
-38.14737,145.17114,16/3/2014,0.125,0,0.4167
-38.17321,145.40282,18/3/2014,0.1792,0,0.6667
-37.87797,145.1473,2/4/2014,0.375,1,0.5
-37.83286,145.0585,2/4/2014,0.3458,1,0.5
-37.51015,143.80455,2/4/2014,0.3479,1,0.9167
-37.82333,144.97853,6/3/2014,0.3396,1,0.5
-37.79562,144.82768,2/4/2014,0.2979,0.5,0.5
-37.83141,144.9508,2/4/2014,0.3854,1,0.3333
-37.69859,145.0202,28/3/2014,0.6667,1,0.4167
-37.88452,144.69594,2/4/2014,0.4321,1,0.4167
-38.16782,144.42325,30/3/2014,0.2979,0.5,0.6667
-37.90784,145.01069,1/4/2014,0.5958,1,0.4167
-37.89198,145.08841,28/1/2014,0.4229,1,0.6667
-37.83003,144.91933,13/2/2014,0.7292,1,0.6667
-37.39611,144.94457,13/2/2014,0.8562,0,0.8333
-37.80962,144.97138,13/2/2014,0.6375,1,0.3333
-38.19616,145.47694,13/2/2014,0.3996,1,0.6667
